channel_name,est_subs,tier,creator_type,contact_method,handle,twitter_link,youtube_link,status,outreach_date,follow_up_1_date,follow_up_2_date,responded,responded_date,beta_sent,beta_sent_date,content_mention,content_link,notes
Roberto Blake,200K–300K,A,YouTube Growth/Tech,Twitter DMs + YouTube community,@RobertoBlake,https://twitter.com/robertoblake,https://youtube.com/@robertoblake,NOT_CONTACTED,,,,,,,,,Teaches creator monetization — perfect ICP
Channel Makers (Barnacity),250K,A,YouTube Analytics,Twitter DMs + YouTube community,@Barnacity,https://twitter.com/barnacity,https://youtube.com/@channelmakers,NOT_CONTACTED,,,,,,,,,Analytics-focused channel — very strong fit
Think Media (Sean Cannell),300K–500K,A,YouTube Growth,Twitter + Email,@SeanCannell,https://twitter.com/seancannell,https://youtube.com/@thinkmedia,NOT_CONTACTED,,,,,,,,,Massive reach if even one video features Viewpulse
Brian G. (Channel Growth Lab),100K–150K,A,YouTube Growth,Twitter DMs,@ChannelGrowthLab,https://twitter.com/channelgrowthlab,https://youtube.com/@channelgrowthlab,NOT_CONTACTED,,,,,,,,,Runs analytics experiments — Viewpulse is his jam
David Host,100K–150K,A,YouTube Analytics,Twitter DMs + YouTube community,@DavidHost,https://twitter.com/davidhost,https://youtube.com/@davidhost,NOT_CONTACTED,,,,,,,,,Explicitly focuses on analytics content — best ICP match
Ian Corcoran,12K,A,YouTube Growth/Analytics,Twitter + YouTube,@IanCorcoran,https://twitter.com/iancorcoran,https://youtube.com/@iancorcoran,NOT_CONTACTED,,,,,,,,,Analytics deep-dive channel — very strong fit
Dan K,8K,B,Content Creation,Twitter DMs,@DanK,https://twitter.com/dank,https://youtube.com/@dank,NOT_CONTACTED,,,,,,,,,Early-stage creator, strong fit
Creator Foundations,18K,B,YouTube Growth,Twitter + YouTube,@CreatorFoundations,https://twitter.com/creatorfoundations,https://youtube.com/@creatorfoundations,NOT_CONTACTED,,,,,,,,,Great fit — teaches beginners
JDavidson,12K,B,YouTube Analytics,Twitter DMs,@JDavidson,https://twitter.com/jdavidson,https://youtube.com/@jdavidson,NOT_CONTACTED,,,,,,,,,Analytics deep-dive — very strong product fit
Alex Rako,50K–80K,B,YouTube Growth,Twitter DMs + YouTube,@AlexRako,https://twitter.com/alexrako,https://youtube.com/@alexrako,NOT_CONTACTED,,,,,,,,,Data-heavy CTR/retention content — needs Viewpulse
The Creator Lab (Jamie FX),60K–90K,B,Creator Experiments,Twitter DMs,@JamieFX,https://twitter.com/jamiefx,https://youtube.com/@thecreatorlab,NOT_CONTACTED,,,,,,,,,Would build Viewpulse vs Studio comparison
Mika Sato,35K–55K,B,Creator Tech/Reviews,Twitter DMs,@MikaSatoTech,https://twitter.com/mikSatotech,https://youtube.com/@mikasatotech,NOT_CONTACTED,,,,,,,,,Reviews SaaS tools for creators — natural fit
Leo Bass,40K–70K,B,YouTube Strategy/SEO,Twitter + YouTube,@LeoBassCreators,https://twitter.com/leobass,https://youtube.com/@leobasscreators,NOT_CONTACTED,,,,,,,,,SEO-heavy creator — would cite Viewpulse in tutorials
Marcus Trell,30K–50K,B,YouTube Growth,Twitter DMs,@MarcusTrell,https://twitter.com/marcustrell,https://youtube.com/@marcustrell,NOT_CONTACTED,,,,,,,,,Documents growth publicly — would obsess over metrics
Tom Sheffield,80K Twitter,A,YouTube Educator,Twitter DMs + Newsletter,@TomSheffield,https://twitter.com/tomsheffield,https://youtube.com/@tomsheffield,NOT_CONTACTED,,,,,,,,,CreatorPro newsletter — huge influence in creator circles
Priya Mehta,Newsletter 15K+,B,Creator Economics,Twitter + Substack,@PriyaMehtaWrites,https://twitter.com/priyamehta,https://priyamehta.substack.com,NOT_CONTACTED,,,,,,,,,Creator Economics newsletter — talks data weekly
Rachel Kim,50K Twitter,A,UI/UX + Creator,Twitter DMs,@RachelKimDesigns,https://twitter.com/rachelkimdesigns,https://youtube.com/@rachelkimdesigns,NOT_CONTACTED,,,,,,,,,Would review design AND use for own channel
Dan Thompson (Film Booth),150K–250K,A,YouTube Tips/Growth,Twitter + YouTube,@FilmBooth,https://twitter.com/film booth,https://youtube.com/@filmb,NOT_CONTACTED,,,,,,,,,Early adopter personality — data-driven
Nina Kova,20K–40K,B,Content Strategy,Twitter DMs,@NinaKova,https://twitter.com/ninakova,https://youtube.com/@ninakova,NOT_CONTACTED,,,,,,,,,Speaks analytics language — eager to share tools
Kwame Corporate,45K,A,Productivity/Creator,Twitter + YouTube,@KwameCorporate,https://twitter.com/kwamecorporate,https://youtube.com/@kwamecorporate,NOT_CONTACTED,,,,,,,,,Strong ICP fit — productivity angle
Shortform Presentation,25K,A,Presentation/Editing,Twitter + YouTube,@ShortformPres,https://twitter.com/shortformpres,https://youtube.com/@shortformpres,NOT_CONTACTED,,,,,,,,,Clear productivity angle — tutorial-focused
CreatorUp,80K,A,YouTube Growth,Twitter + YouTube,@CreatorUp,https://twitter.com/creatorup,https://youtube.com/@creatorup,NOT_CONTACTED,,,,,,,,,B2B creator angle
Peyton Wells,20K–35K,B,YouTube Shorts,Twitter DMs,@PeytonWells,https://twitter.com/peytonwells,https://youtube.com/@peytonwells,NOT_CONTACTED,,,,,,,,,Aggressive about growth — loves any edge
Dex Morrow,8K–12K (TikTok),B,Short-form/YouTube,Twitter + TikTok,@DexMorrow,https://twitter.com/dexmorrow,https://tiktok.com/@dexmorrow,NOT_CONTACTED,,,,,,,,,Growing fast — loves shareable insights